chemical,amount,agency,contractor
Anti-icing / Deicing product,"3,395.52",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,201.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,413.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,153.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,177.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,10.08,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,932.3,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,191.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,58.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,443.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,26.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1380.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,605.4,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"4,244.40",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,143.94,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,147.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,226.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1504.52,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,90.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,16.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1009,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,100.9,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,88.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,316.32,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,29.36,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,359.85,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,93.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,100.9,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,29.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,116.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,359.85,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,83.36,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,291.76,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,306.88,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,339.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,215.91,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,147.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,93.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,291.76,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,316.32,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,475.17,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,93.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"5,568.53",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,22.66,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,29.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,116.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,116.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,116.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,153.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,169.77,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,483.84,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,287.88,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,33.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,143.94,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,169.77,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,100.9,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,94.11,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,229.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,183,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,158.88,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,114.32,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,116.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,6.37,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,153.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,202.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,100.9,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,466.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,169.77,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,95.74,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,233.56,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,339.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,736,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"167,000.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"167,000.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"167,000.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"167,000.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"167,000.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"167,000.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"167,000.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"167,000.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"125,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"125,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"125,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,12.95,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,12.95,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,89.11,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,3.67,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,3.67,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,5231.4,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,574.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,271.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,848.85,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,249.22,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,201.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,2242.98,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,89.11,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,169.77,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,623.05,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,100.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,93.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,10.08,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,169.77,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,38.36,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,229.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,100.9,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,3729.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1036.5,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,38.36,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,3.67,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,382.96,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,460.32,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,460.32,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,767.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,45.32,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,45.32,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1380.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,266.16,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,95.74,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,88.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,16.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,215.91,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,143.94,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,143.94,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,110.42,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,261.57,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Salt / Reagent,129.52,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,177.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,177.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,2984.56,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1315.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,88.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,191.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,848.85,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,169.77,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,29.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,59.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,2.59,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,8.1,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,76.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,76.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,523.14,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1307.85,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,186.46,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,509.31,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,976.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1104.12,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,316.32,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,21.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,171.31,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,784.71,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,2639.75,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,208.06,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,765.92,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1380.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,191.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,88.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,90.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,88.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,36.7,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,339.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,215.91,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,100.9,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,287.88,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,3.67,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,22.02,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1656.18,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1697.7,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,339.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,403.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,186.46,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,53.84,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,50.4,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Salt / Reagent,161.9,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,91.1,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,100.9,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,302.7,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,88.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,26.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,339.54,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1338.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1178.71,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,153.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,10.01,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,130.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,169.77,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,191.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,59.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1254.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,105.59,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,93.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.03,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,10271.5,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,28.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,124.61,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,198.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
